round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
7,1.906302214428118,30.46,81.65752673149109,0.9411634599817608,"[{""client_id"": 7, ""average_loss"": 1.4023045556885856, ""accuracy"": 53.382451440053586, ""samples"": 4479}, {""client_id"": 2, ""average_loss"": 1.3274523556232452, ""accuracy"": 55.33584431889517, ""samples"": 6372}, {""client_id"": 6, ""average_loss"": 1.3168175633658061, ""accuracy"": 54.51147891083823, ""samples"": 5619}, {""client_id"": 4, ""average_loss"": 1.3060707361609847, ""accuracy"": 53.74583393711056, ""samples"": 6901}, {""client_id"": 9, ""average_loss"": 1.3701509839480686, ""accuracy"": 52.59509993552547, ""samples"": 6204}]"
8,2.0786631995705283,24.32,97.11588311195374,2.2845287200607647,"[{""client_id"": 3, ""average_loss"": 1.2674135499530368, ""accuracy"": 58.303886925795055, ""samples"": 2264}, {""client_id"": 6, ""average_loss"": 1.2435491694645449, ""accuracy"": 56.21996796583022, ""samples"": 5619}, {""client_id"": 2, ""average_loss"": 1.2543325126171112, ""accuracy"": 58.61581920903955, ""samples"": 6372}, {""client_id"": 7, ""average_loss"": 1.4066500851086208, ""accuracy"": 52.42241571779415, ""samples"": 4479}, {""client_id"": 0, ""average_loss"": 1.2816818507890853, ""accuracy"": 54.929577464788736, ""samples"": 8023}]"
9,1.927166199987861,27.25,108.44503974914551,3.8257140180670186,"[{""client_id"": 2, ""average_loss"": 1.3279870241880416, ""accuracy"": 56.52856246076585, ""samples"": 6372}, {""client_id"": 1, ""average_loss"": 1.517130376611437, ""accuracy"": 48.843537414965986, ""samples"": 2205}, {""client_id"": 0, ""average_loss"": 1.187722980503052, ""accuracy"": 59.06768041879596, ""samples"": 8023}, {""client_id"": 7, ""average_loss"": 1.4654452349458422, ""accuracy"": 50.12279526680062, ""samples"": 4479}, {""client_id"": 5, ""average_loss"": 1.531221236053266, ""accuracy"": 53.654342218400686, ""samples"": 1163}]"
10,1.895311226510698,25.06,122.7254991531372,4.635134771223388,"[{""client_id"": 6, ""average_loss"": 1.2539868327704342, ""accuracy"": 56.504716141662215, ""samples"": 5619}, {""client_id"": 5, ""average_loss"": 1.0922527752424542, ""accuracy"": 66.12209802235597, ""samples"": 1163}, {""client_id"": 0, ""average_loss"": 1.1905745159065912, ""accuracy"": 58.24504549420416, ""samples"": 8023}, {""client_id"": 4, ""average_loss"": 1.2538984417915344, ""accuracy"": 55.33980582524272, ""samples"": 6901}, {""client_id"": 3, ""average_loss"": 1.4646598663594987, ""accuracy"": 52.29681978798587, ""samples"": 2264}]"
11,1.7443534037110153,36.49,132.05077695846558,1.3560479411042294,"[{""client_id"": 5, ""average_loss"": 1.3837831302693016, ""accuracy"": 57.523645743766124, ""samples"": 1163}, {""client_id"": 3, ""average_loss"": 1.2314445525407791, ""accuracy"": 58.56890459363957, ""samples"": 2264}, {""client_id"": 9, ""average_loss"": 1.2692966381299127, ""accuracy"": 54.93230174081238, ""samples"": 6204}, {""client_id"": 6, ""average_loss"": 1.1648789115927436, ""accuracy"": 58.586937177433704, ""samples"": 5619}, {""client_id"": 7, ""average_loss"": 1.247663791690554, ""accuracy"": 56.77606608617995, ""samples"": 4479}]"
12,1.7905072262332697,34.92,143.6971127986908,5.16811204547573,"[{""client_id"": 4, ""average_loss"": 1.1868033591243956, ""accuracy"": 57.440950586871466, ""samples"": 6901}, {""client_id"": 5, ""average_loss"": 1.018719754720989, ""accuracy"": 68.87360275150473, ""samples"": 1163}, {""client_id"": 9, ""average_loss"": 1.238856745134924, ""accuracy"": 57.011605415860735, ""samples"": 6204}, {""client_id"": 8, ""average_loss"": 1.2477637023295995, ""accuracy"": 56.99719225653909, ""samples"": 6767}, {""client_id"": 1, ""average_loss"": 1.385318970680237, ""accuracy"": 53.92290249433107, ""samples"": 2205}]"
13,1.887128547498375,34.4,156.10664796829224,4.783559403384375,"[{""client_id"": 1, ""average_loss"": 1.263621199131012, ""accuracy"": 55.91836734693877, ""samples"": 2205}, {""client_id"": 0, ""average_loss"": 1.186663557139654, ""accuracy"": 58.357222983921226, ""samples"": 8023}, {""client_id"": 6, ""average_loss"": 1.1561372584917329, ""accuracy"": 59.8327104466987, ""samples"": 5619}, {""client_id"": 9, ""average_loss"": 1.2615364458143097, ""accuracy"": 55.54480980012895, ""samples"": 6204}, {""client_id"": 5, ""average_loss"": 1.0323076812844527, ""accuracy"": 68.70163370593293, ""samples"": 1163}]"
14,1.7476221087631907,32.93,168.6135003566742,2.7156762430004906,"[{""client_id"": 8, ""average_loss"": 1.2407729552601867, ""accuracy"": 57.57351854588444, ""samples"": 6767}, {""client_id"": 5, ""average_loss"": 1.1148971570165533, ""accuracy"": 65.43422184006879, ""samples"": 1163}, {""client_id"": 7, ""average_loss"": 1.178053858450481, ""accuracy"": 60.258986380888594, ""samples"": 4479}, {""client_id"": 6, ""average_loss"": 1.114941736513918, ""accuracy"": 60.84712582310019, ""samples"": 5619}, {""client_id"": 2, ""average_loss"": 1.2504569512605668, ""accuracy"": 58.55304456999372, ""samples"": 6372}]"
15,1.659429931336907,38.17,178.73674416542053,3.9836621814187443,"[{""client_id"": 7, ""average_loss"": 1.1397973111697606, ""accuracy"": 60.392944853762, ""samples"": 4479}, {""client_id"": 8, ""average_loss"": 1.123151663901671, ""accuracy"": 61.44524900251219, ""samples"": 6767}, {""client_id"": 5, ""average_loss"": 0.9385049405850863, ""accuracy"": 70.33533963886501, ""samples"": 1163}, {""client_id"": 2, ""average_loss"": 1.1547659438848497, ""accuracy"": 60.49905838041431, ""samples"": 6372}, {""client_id"": 4, ""average_loss"": 1.1167062807966162, ""accuracy"": 59.600057962614116, ""samples"": 6901}]"
16,1.7520255442637547,34.47,190.32637977600098,2.655964069887691,"[{""client_id"": 0, ""average_loss"": 1.0951086840932331, ""accuracy"": 61.897045992770785, ""samples"": 8023}, {""client_id"": 2, ""average_loss"": 1.1690162372589112, ""accuracy"": 60.09102322661645, ""samples"": 6372}, {""client_id"": 9, ""average_loss"": 1.2407556729218394, ""accuracy"": 57.543520309477756, ""samples"": 6204}, {""client_id"": 3, ""average_loss"": 1.2503826088375516, ""accuracy"": 55.477031802120145, ""samples"": 2264}, {""client_id"": 4, ""average_loss"": 1.0697487040802285, ""accuracy"": 62.52716997536589, ""samples"": 6901}]"
