round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
12,3.8491972813940354,6.7,1517.5065610408783,0.0,"[{""client_id"": 9, ""average_loss"": 5.524448598437297, ""accuracy"": 31.331139147924667, ""samples"": 65628}, {""client_id"": 5, ""average_loss"": 5.689583485083812, ""accuracy"": 31.084293289449626, ""samples"": 65628}, {""client_id"": 1, ""average_loss"": 5.54309890093401, ""accuracy"": 31.02791491436582, ""samples"": 65628}, {""client_id"": 0, ""average_loss"": 5.614101361130815, ""accuracy"": 30.845066130310233, ""samples"": 65628}, {""client_id"": 4, ""average_loss"": 5.265541515082044, ""accuracy"": 30.595172792100932, ""samples"": 65628}]"
13,3.7568329322110317,8.8,1646.6845073699951,0.0,"[{""client_id"": 7, ""average_loss"": 4.883497801583136, ""accuracy"": 31.41494484061681, ""samples"": 65628}, {""client_id"": 6, ""average_loss"": 6.127352289531542, ""accuracy"": 30.601267751569452, ""samples"": 65628}, {""client_id"": 8, ""average_loss"": 5.268712952923591, ""accuracy"": 31.54293898945572, ""samples"": 65628}, {""client_id"": 2, ""average_loss"": 5.353134928761846, ""accuracy"": 31.279331992442252, ""samples"": 65628}, {""client_id"": 1, ""average_loss"": 5.314229897221031, ""accuracy"": 31.581032486133967, ""samples"": 65628}]"
14,3.7069821555143707,8.2,1777.6792454719543,0.0,"[{""client_id"": 7, ""average_loss"": 5.00030376447741, ""accuracy"": 32.123483878832204, ""samples"": 65628}, {""client_id"": 3, ""average_loss"": 5.165089196866126, ""accuracy"": 31.788261108063633, ""samples"": 65628}, {""client_id"": 0, ""average_loss"": 5.230991886399896, ""accuracy"": 31.827878344609008, ""samples"": 65628}, {""client_id"": 2, ""average_loss"": 5.093319244701844, ""accuracy"": 32.33071250076187, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 5.464400548459319, ""accuracy"": 31.95891997318218, ""samples"": 65628}]"
15,3.703756748491032,11.4,1906.6412703990936,0.0,"[{""client_id"": 2, ""average_loss"": 5.450241320883221, ""accuracy"": 32.52117998415311, ""samples"": 65628}, {""client_id"": 0, ""average_loss"": 5.45929869483499, ""accuracy"": 32.40537575425123, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 4.872133769647545, ""accuracy"": 32.80459559943927, ""samples"": 65628}, {""client_id"": 7, ""average_loss"": 4.816567109978718, ""accuracy"": 32.803071859572135, ""samples"": 65628}, {""client_id"": 6, ""average_loss"": 4.913678445779454, ""accuracy"": 32.56079722069848, ""samples"": 65628}]"
16,3.5823337545820104,12.0,2034.9692060947418,0.0,"[{""client_id"": 1, ""average_loss"": 5.58068102857341, ""accuracy"": 32.617175595782285, ""samples"": 65628}, {""client_id"": 7, ""average_loss"": 4.5921665177016004, ""accuracy"": 33.26628877917962, ""samples"": 65628}, {""client_id"": 4, ""average_loss"": 4.9356770466660596, ""accuracy"": 32.449564210398, ""samples"": 65628}, {""client_id"": 0, ""average_loss"": 4.725238782975375, ""accuracy"": 33.135247150606446, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 4.695784999281549, ""accuracy"": 33.36990309014445, ""samples"": 65628}]"
17,3.6452458269277197,11.0,2167.557350873947,0.0,"[{""client_id"": 1, ""average_loss"": 4.604773416238673, ""accuracy"": 33.52684829645883, ""samples"": 65628}, {""client_id"": 2, ""average_loss"": 4.493474626175278, ""accuracy"": 33.62436764795514, ""samples"": 65628}, {""client_id"": 3, ""average_loss"": 4.578608824468939, ""accuracy"": 33.18248308648747, ""samples"": 65628}, {""client_id"": 8, ""average_loss"": 4.692753483267391, ""accuracy"": 33.35314195160602, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 4.505020349531832, ""accuracy"": 33.83616748948619, ""samples"": 65628}]"
18,3.519062740787579,13.4,2294.3408422470093,0.0,"[{""client_id"": 5, ""average_loss"": 4.953953898471335, ""accuracy"": 32.88687755226428, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 4.345945172602563, ""accuracy"": 34.04187237154873, ""samples"": 65628}, {""client_id"": 1, ""average_loss"": 4.515020759819109, ""accuracy"": 33.95044797952094, ""samples"": 65628}, {""client_id"": 6, ""average_loss"": 4.47358277630623, ""accuracy"": 33.609130249283844, ""samples"": 65628}, {""client_id"": 0, ""average_loss"": 4.447918087930021, ""accuracy"": 33.76302797586396, ""samples"": 65628}]"
19,3.534546891595148,12.6,2423.5180385112762,0.0,"[{""client_id"": 7, ""average_loss"": 4.7183518571317045, ""accuracy"": 33.8468336685561, ""samples"": 65628}, {""client_id"": 2, ""average_loss"": 4.957649949566482, ""accuracy"": 33.880355945632964, ""samples"": 65628}, {""client_id"": 6, ""average_loss"": 4.6357539730608615, ""accuracy"": 34.05710977022003, ""samples"": 65628}, {""client_id"": 4, ""average_loss"": 4.183836236024452, ""accuracy"": 34.220149936002926, ""samples"": 65628}, {""client_id"": 8, ""average_loss"": 4.557718851987054, ""accuracy"": 34.13482050344365, ""samples"": 65628}]"
20,3.5608264382477777,12.1,2582.8908298015594,0.0,"[{""client_id"": 4, ""average_loss"": 4.001439237228745, ""accuracy"": 34.582800024379836, ""samples"": 65628}, {""client_id"": 3, ""average_loss"": 4.3145921690689635, ""accuracy"": 34.25824343268117, ""samples"": 65628}, {""client_id"": 6, ""average_loss"": 4.072325611968175, ""accuracy"": 34.78393368684098, ""samples"": 65628}, {""client_id"": 9, ""average_loss"": 4.111410693134493, ""accuracy"": 34.79155238617663, ""samples"": 65628}, {""client_id"": 5, ""average_loss"": 4.383149403745256, ""accuracy"": 34.42737855793259, ""samples"": 65628}]"
21,3.4487928288757423,17.8,2752.4862349033356,0.0,"[{""client_id"": 4, ""average_loss"": 3.8070478966778807, ""accuracy"": 42.716, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 4.600067803621902, ""accuracy"": 42.144, ""samples"": 75000}, {""client_id"": 3, ""average_loss"": 3.835929965728994, ""accuracy"": 42.398666666666664, ""samples"": 75000}, {""client_id"": 5, ""average_loss"": 3.791171288551272, ""accuracy"": 42.50533333333333, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 4.07845731434005, ""accuracy"": 42.657333333333334, ""samples"": 75000}]"
